"Site"	"Transcription-Units"	"Synonyms"
"aagp"	"aag-yxzF"	"yxlJ-yxzF"
"abrB-P1"	"abrB"	
"abrB-P2"	"abrB"	
"aldp"	"ald"	
"bcaPp"	"bcaP"	"yhdG"
"bdhAp"	"bdhA"	"ydjL"
"bmrAp"	"bmrA"	
"bshCp"	"bshC"	"yllA"
"bsrCp"	"bsrC"	
"bvx"	"glgBCDAP"	
"ccpC-P1"		
"citG-P1a"		
"citG-P1b"	"citG"	
"citG-P2"	"citG"	
"clpE-s1"	"clpE"	
"clpE-s2"	"clpE"	
"clpP-S1"	"clpP"	
"clpP-S2"	"clpP"	
"comF-P1"	"comFABC-yvyF-flgM-yvyG-flgKL"	
"copBp"	"copB"	
"copZp"	"copZA"	
"cotE-P1"	"cotE"	
"cotE-P2"	"cotE"	
"cotM-P1"	"cotM"	
"cotM-P2"	"cotM"	
"cotX-Px"		
"csbA-PA"	"csbA"	
"csbA-PB"	"csbA"	
"cssR-S1"	"cssRS"	
"cssR-S2"	"cssRS"	
"ctaA-Ps"	"ctaA"	
"cwlF-Pa"	"lytE"	
"cwlF-Ph"	"lytE"	
"cydAp"	"cydABCD"	
"degSUp1"	"degSU"	
"degUp2"	"degU"	
"degUp3"	"degU"	
"dhbAp"	"dhbACEBF"	
"dnaA-TR3"	"dnaAN"	
"dps-P1"	"dps"	
"dps-PB"	"dps"	
"drm-P1"	"drm-punA"	
"drm-P2"	"drm-punA"	
"eglSp"	"eglS"	
"eprp"	"epr"	
"epsp"	"eps"	
"exuP1"	"uxaC-yjmBCD-uxuA-yjmF-exuTR-uxaBA"	
"exuP2"		
"ezrA-P1"	"ezrA"	
"ezrA-P2"	"ezrA"	
"fatRp"	"yrhIJ"	
"feuAp"	"feuABC-ybbA"	
"finp"	"fin"	
"flgMp"	"flgM-yvyG-flgKL"	
"frlBp"	"frlBONMD"	
"ftsA-P1"		
"ftsA-P2"	"ftsAZ"	
"ftsA-P3"	"ftsAZ"	
"ftsY-PK"		
"G4"	"yoaW"	
"gabP-P1"	"gabP"	
"gabP-P2"	"gabP"	
"galEp"	"galE"	
"gamAp"	"gamAP"	
"gamRp"	"ybgAB"	
"ganSp"	"ganSPQAB"	"yvfKLM-lacA-yvfO"
"gerAp"	"gerAABC"	
"gerDp"	"gerD"	
"gerKAp"	"gerKACB"	
"ggaAp"	"ggaAB"	
"glcUp"	"glcU-gdh"	
"glmSp"	"glmS"	
"gntR-P1"	"gntRKPZ"	
"gntZ-P2"		
"gntZ-P3"		
"gyrA-TR7"	"gyrA"	
"hbs-P1"		
"hbs-P2"	"hbs"	
"hbs-P3"	"hbs"	
"hmoAp"	"hmoA"	
"homp"	"hom-thrCB"	
"hprKp"	"hprK"	
"hrcA-S1"		
"hrcA-S2"		
"ilvEp"	"ybgE"	
"infCp1"	"infC-rpmI-rplT"	
"infCp2"	"infC-rpmI-rplT" // "infC-rpmI-rplT-ysdA"	
"ispAp"	"ispA"	
"katE-S1"	"katE-yxiS"	
"katE-S2"	"katE-yxiS"	
"liaIp"	"liaIH" // "liaIHGFSR"	"yvqIHGFEC"
"lmrAp"	"lmrAB"	
"lonS1"	"lonA-ysxC"	
"lonS2"	"lonA-ysxC"	
"lrpC-P1"	"lrpC"	
"manPp"	"manPA-yjdF"	
"manRp"	"manR"	
"mapBp"	"yflG-yflH"	
"med-A"	"med-comZ"	
"med-B"	"med-comZ"	
"metIp"	"metIC"	"yjcIJ"
"mgtEp"	"mgtE"	
"mnePp"	"mneP"	
"mneSp"	"mneS"	
"mtnW-P1"	"mtnWXBD"	
"mtnW-P2"	"mtnWXBD"	
"nagAp"	"nagABR"	
"nagPp"	"nagP"	
"nasBp"	"nasBCDEF"	
"nasDp"	"nasDEF"	
"ntdAp"	"ntdABC-glcP"	
"ntdRp"	"ntdR"	
"nupNp"	"nupNOPQ" // "nupN"	"yufN"
"opuA-P2"	"opuAABC"	
"opuAp"	"opuAABC"	
"opuBAp"	"opuBABCD"	
"opuE-P1"	"opuE"	
"opuE-P2"	"opuE"	
"oxdCp"	"oxdC-yvrL"	
"oxdDp"	"oxdD"	"yoaN"
"P2"		
"P3"		
"PA,1"	"lytABC"	
"PA,2"	"lytR"	
"padCp"	"yveFG-padC"	
"pbuEp"	"pbuE"	
"PD"	"lytABC"	
"phoB-Ps"	"phoB-ydhF"	
"phoB-Pv"	"phoB-ydhF"	
"phoP-P1; phoP-PA4"		
"phoP-P2; phoP-A3"		
"phoP-P5"		
"phoP-PA6"		
"phoP-PB1"	"phoPR"	
"phoP-PE2"	"phoPR"	
"phrC-P2"		
"phrE-P1"		
"phrE-P2"		
"phrE-P3"		
"phrI-P1"		
"phrI-P2"		
PM8J2-1	"gmuBACDREFG"	
PM8J2-100	"acoABCL"	
PM8J2-101	"yxeE"	
PM8J2-102	"ywrJ"	
PM8J2-104	"ytcC"	
PM8J2-105	"ytaA"	
PM8J2-107	"yrkC"	
PM8J2-1076	"bsrF"	
PM8J2-108	"yqfQ"	
PM8J2-111	"yobW"	
PM8J2-114	"yndL"	
PM8J2-115	"ymaG"	
PM8J2-117	"ykvPQ"	
PM8J2-118	"ykuD"	
PM8J2-119		
PM8J2-12	"mtnKA"	
PM8J2-13	"mtnV"	
PM8J2-130		
PM8J2-131	"yabG"	
PM8J2-133	"sspG-yurS"	
PM8J2-136	"spoVFAB-asd-dapG-dapA"	
PM8J2-137	"spoIVCB-spoIIIC"	
PM8J2-138	"gerPABCDEF"	
PM8J2-139	"gerE"	
PM8J2-14	"mtnU"	
PM8J2-141	"cwlH"	
PM8J2-142	"cwlC"	
PM8J2-143	"cotYZ"	
PM8J2-145	"cotVWX"	
PM8J2-146	"cotT"	
PM8J2-147	"cotSA-cotS-ytxO"	
PM8J2-148	"ydgBA-cotP"	
PM8J2-149	"yozR"	
PM8J2-15	"ylaABCD"	
PM8J2-152	"cotH"	
PM8J2-153	"cotG"	
PM8J2-154	"cotF"	
PM8J2-156	"cotD"	
PM8J2-157	"cotC"	
PM8J2-158	"cotB"	
PM8J2-159	"cotA"	
PM8J2-16	"ywkAB"	
PM8J2-160	"cgeCDE"	
PM8J2-161	"cgeAB"	
PM8J2-163	"racA"	
PM8J2-166	"yoxA-dacC"	
PM8J2-168	"spoVS"	
PM8J2-17	"ybgB"	
PM8J2-170		
PM8J2-171	"spo0M"	
PM8J2-174		
PM8J2-176		
PM8J2-177		
PM8J2-18	"sigY-yxlCDEFG"	
PM8J2-181		
PM8J2-184	"kinA"	
PM8J2-19	"ywoA"	
PM8J2-190	"yxeD"	
PM8J2-191	"ywhE"	
PM8J2-192	"ctpB"	
PM8J2-193		
PM8J2-194	"yvdQ"	
PM8J2-195	"yvdP"	
PM8J2-196	"yvaB"	
PM8J2-197	"yuzA"	
PM8J2-198	"yteA"	
PM8J2-199	"yrrD"	
PM8J2-2	"bceAB"	
