ywoBp	ywoB	BSU36500
yvyD-P2	hpf	BSU35310
yvyD-P1	hpf	BSU35310
yvaKp	yvaK	BSU33620
yuxHp	pdeH	BSU31740
yutDp	yutD	BSU32310
ytxG-PH	ytxG	BSU29780
ytxG-PB	ytxG	BSU29780
ytrGp	ytrA	BSU30460
ytpPp	ytpP	BSU29840
yqiHp	yqiH	BSU24200
ypjDp	mgsA	BSU22480
yoyCp	yoyC	BSU19479
yojEp	yojE	BSU19480
ylmAp	ylmA	BSU15340
ylbQp	ylbQ	BSU15110
ykuNp	ykuN	BSU14150
yjzKp	yjzK	BSU11799
yjlCp	yjlC	BSU12280
yjcZp	spoVIF	BSU11810
yjcZ-P3		
yjcB-P2		
yjcA-P1	yjcA	BSU11790
yjbD-Pm		
yjbD-P3		
yjbC-PB		
yjbC-P2		
yjbC-P2	yjbC	BSU11490
yjbC-P1	yjbC	BSU11490
yhzE-2p	yhzE-2	G8J2-7
yhcYp	yhcY	BSU09320
yfmPp	yfmP	BSU07390
yfhR-P5		
yfhR-P4		
yfhR-P3		
yfhQ-P2	mutY	BSU08630
yfhP-P2(Fujita)	yfhP	BSU08620
yfhP-P1(Yamamoto)	yfhP	BSU08620
yfhP-P1(Fujita)		
ydhEp	ydhE	BSU05720
yciCp	yciC	BSU03360
yciAp	folEB	BSU03340
ycdHp	znuA	BSU02850
yabEp	yabE	BSU00400
yaaB-TR6		
yaaA-TR5	yaaA	BSU00030
xptp	xpt	BSU22070
wapAp	wapA	BSU39230
ureA-P3	ureA	BSU36660
ureA-P2	ureA	BSU36660
txpAp	txpA	BSU26050
tuaAp	tuaB	BSU35600
trpEp	trpE	BSU22680
tkmAp	tkmA	BSU36260
tapAp	tapA	BSU24640
ssrSAp	ssrSA	BSU_MISC_RNA_32
ssrAp	ssrA	BSU_MISC_RNA_55
sspI-P2	sspI	BSU28660
sspI-P1	sspI	BSU28660
sspE-P7		
sscAp	sscA	BSU09958
spxAp	spxA	BSU11500
spoVK-P2	spoVK	BSU17420
spoVK-P1	spoVK	BSU17420
spoVIFp	spoVIF	BSU11810
spoVG-P1	spoVG	BSU00490
spoVE-P2		
spoVE-P1		
spoVAAp	spoVAA	BSU23440
spoIVA-P2	spoIVA	BSU22800
spoIVA-P1	spoIVA	BSU22800
spoIIQp	spoIIQ	BSU36550
spo0F-P2	spo0F	BSU37130
spo0F-P2	spo0F	BSU37130
spo0A-P2	spo0A	BSU24220
splB-P3		
splA-P1	splA	BSU13920
smpBp	smpB	BSU33600
Site I	veg	BSU00440
sipS-T6	sipS	BSU23310
sipS-T5-2	sipS	BSU23310
sipS-T5-1		
sinR-P3 (RNAIII)		
sinI-P2 (RNAII)	sinI	BSU24600
sinI-P1 (RNAI)	sinI	BSU24600
sigM-PM	sigM	BSU09520
